"URI","rdf-schema#label","runtime","album_label","album","artist_label","artist","composer_label","composer","genre_label","genre","language_label","language","previousWork_label","previousWork","producer_label","producer","recordDate","recordLabel_label","recordLabel","recordedIn_label","recordedIn","releaseDate","runtime","subsequentWork_label","subsequentWork","title","trackNumber","type_label","type","writer_label","writer"
"URI","http://www.w3.org/2000/01/rdf-schema#label","http://dbpedia.org/ontology/Work/runtime","http://dbpedia.org/ontology/album","http://dbpedia.org/ontology/album","http://dbpedia.org/ontology/artist","http://dbpedia.org/ontology/artist","http://dbpedia.org/ontology/composer","http://dbpedia.org/ontology/composer","http://dbpedia.org/ontology/genre","http://dbpedia.org/ontology/genre","http://dbpedia.org/ontology/language","http://dbpedia.org/ontology/language","http://dbpedia.org/ontology/previousWork","http://dbpedia.org/ontology/previousWork","http://dbpedia.org/ontology/producer","http://dbpedia.org/ontology/producer","http://dbpedia.org/ontology/recordDate","http://dbpedia.org/ontology/recordLabel","http://dbpedia.org/ontology/recordLabel","http://dbpedia.org/ontology/recordedIn","http://dbpedia.org/ontology/recordedIn","http://dbpedia.org/ontology/releaseDate","http://dbpedia.org/ontology/runtime","http://dbpedia.org/ontology/subsequentWork","http://dbpedia.org/ontology/subsequentWork","http://dbpedia.org/ontology/title","http://dbpedia.org/ontology/trackNumber","http://dbpedia.org/ontology/type","http://dbpedia.org/ontology/type","http://dbpedia.org/ontology/writer","http://dbpedia.org/ontology/writer"
"URI","rdf-schema#Literal","minute","XMLSchema#string","Album","XMLSchema#string","Agent","XMLSchema#string","Person","XMLSchema#string","Genre","XMLSchema#string","Language","XMLSchema#string","Work","XMLSchema#string","Agent","XMLSchema#date","XMLSchema#string","RecordLabel","XMLSchema#string","PopulatedPlace","XMLSchema#date","XMLSchema#double","XMLSchema#string","Work","22-rdf-syntax-ns#langString","XMLSchema#positiveInteger","XMLSchema#string","owl#Thing","XMLSchema#string","Person"
"http://www.w3.org/2002/07/owl#Thing","http://www.w3.org/2000/01/rdf-schema#Literal","http://dbpedia.org/datatype/minute","http://www.w3.org/2001/XMLSchema#string","http://dbpedia.org/ontology/Album","http://www.w3.org/2001/XMLSchema#string","http://dbpedia.org/ontology/Agent","http://www.w3.org/2001/XMLSchema#string","http://dbpedia.org/ontology/Person","http://www.w3.org/2001/XMLSchema#string","http://dbpedia.org/ontology/Genre","http://www.w3.org/2001/XMLSchema#string","http://dbpedia.org/ontology/Language","http://www.w3.org/2001/XMLSchema#string","http://dbpedia.org/ontology/Work","http://www.w3.org/2001/XMLSchema#string","http://dbpedia.org/ontology/Agent","http://www.w3.org/2001/XMLSchema#date","http://www.w3.org/2001/XMLSchema#string","http://dbpedia.org/ontology/RecordLabel","http://www.w3.org/2001/XMLSchema#string","http://dbpedia.org/ontology/PopulatedPlace","http://www.w3.org/2001/XMLSchema#date","http://www.w3.org/2001/XMLSchema#double","http://www.w3.org/2001/XMLSchema#string","http://dbpedia.org/ontology/Work","http://www.w3.org/1999/02/22-rdf-syntax-ns#langString","http://www.w3.org/2001/XMLSchema#positiveInteger","http://www.w3.org/2001/XMLSchema#string","http://www.w3.org/2002/07/owl#Thing","http://www.w3.org/2001/XMLSchema#string","http://dbpedia.org/ontology/Person"
"http://dbpedia.org/resource/%C2%A1Ay,_qu%C3%A9_deseo!","¡Ay qué deseo!","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Spain","http://dbpedia.org/resource/Spain","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Sin rencor","http://dbpedia.org/resource/Sin_rencor","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/%C2%A1Qu%C3%A9_bueno,_qu%C3%A9_bueno!","¡Qué bueno qué bueno!","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Spain","http://dbpedia.org/resource/Spain","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/%C2%BD_Full","½ Full","4.166666666666667","Riot Act (album)","http://dbpedia.org/resource/Riot_Act_(album)","Pearl Jam","http://dbpedia.org/resource/Pearl_Jam","NULL","NULL","{Blues rock|Alternative rock}","{http://dbpedia.org/resource/Blues_rock|http://dbpedia.org/resource/Alternative_rock}","NULL","NULL","NULL","NULL","{Adam Kasper|Pearl Jam}","{http://dbpedia.org/resource/Adam_Kasper|http://dbpedia.org/resource/Pearl_Jam}","NULL","Epic Records","http://dbpedia.org/resource/Epic_Records","{Bad Animals Studio|Seattle|Washington (state)}","{http://dbpedia.org/resource/Bad_Animals_Studio|http://dbpedia.org/resource/Seattle|http://dbpedia.org/resource/Washington_(state)}","2002-11-12","250.0","NULL","NULL","NULL","13","NULL","NULL","{Eddie Vedder|Jeff Ament}","{http://dbpedia.org/resource/Eddie_Vedder|http://dbpedia.org/resource/Jeff_Ament}"
"http://dbpedia.org/resource/%C2%BFD%C3%B3nde_Est%C3%A1_Santa_Claus%3F__Mamacita_D%C3%B3nde_Est%C3%A1_Santa_Claus__1","NULL","3.3666666666666667","Ayer Fue Kumbia Kings Hoy Es Kumbia All Starz","http://dbpedia.org/resource/Ayer_Fue_Kumbia_Kings,_Hoy_Es_Kumbia_All_Starz","A.B. Quintanilla","http://dbpedia.org/resource/A.B._Quintanilla","NULL","NULL","Cumbia","http://dbpedia.org/resource/Cumbia","NULL","NULL","Chiquilla","http://dbpedia.org/resource/Chiquilla","A.B. Quintanilla","http://dbpedia.org/resource/A.B._Quintanilla","NULL","EMI","http://dbpedia.org/resource/EMI","NULL","NULL","2007-10-02","202.0","Mami Anoche No Dormí","http://dbpedia.org/resource/Mami_Anoche_No_Dorm%C3%AD","NULL","15","Song","http://dbpedia.org/resource/Song","NULL","NULL"
"http://dbpedia.org/resource/%C2%BFQu%C3%A9_voy_a_hacer_sin_ti%3F","¿Qué voy a hacer sin ti?","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Spain","http://dbpedia.org/resource/Spain","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","No quiero escuchar","http://dbpedia.org/resource/No_quiero_escuchar","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/%C2%BFQui%C3%A9n_maneja_mi_barca%3F","¿Quién maneja mi barca?","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Spain","http://dbpedia.org/resource/Spain","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/%C3%80_chacun_sa_chanson","À chacun sa chanson","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","French language","http://dbpedia.org/resource/French_language","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
