Index,City,City population,Country,Mayor,Metro population,World rank,sameAs
0,MacAllen,110 thousand,USA,n/k,1.058 thousand,n/r,http://dbpedia.org/resource/McAllen._Texas
1,Maceio,922 thousand,Brazil,José Cícero Soares de Almeida,1.100 thousand,437,http://dbpedia.org/resource/Macei%C3%B3
2,Macheng,1.880 thousand,China,n/k,,152,http://dbpedia.org/resource/Macheng
3,MADRID,3.213 thousand,Spain,Alberto Ruiz-Gallardón,5.300 thousand,73,http://dbpedia.org/resource/Madrid
4,Madurai,1.130 thousand,India,Thenmozhi Gopinathan,,355,http://dbpedia.org/resource/Madurai
5,Magdeburg,230 thousand,Germany,Lutz Trümper,,n/r,http://dbpedia.org/resource/Magdeburg
6,Maiduguri,1.200 thousand,Nigeria,n/k,1.200 thousand,324,http://dbpedia.org/resource/Maiduguri
7,Makasar,1.113 thousand,Indonesia,Ilham Arief Sirajuddin,,360,http://dbpedia.org/resource/Makassar
8,Malang,742 thousand,Indonesia,n/k,921 thousand,523,http://dbpedia.org/resource/Malang
9,Malmo,244 thousand,Sweden,Ilmar Reepalu,1.340 thousand,n/r,http://dbpedia.org/resource/Malm%C3%B6
10,MANAGUA,1.185 thousand,Nicaragua,Daisy Torres,1.342 thousand,332,http://dbpedia.org/resource/Managua
11,Manaus,1.739 thousand,Brazil,Amazonino Mendes,1.924 thousand,173,http://dbpedia.org/resource/Manaus
12,Manchester,464 thousand,UK,Mavis Smitheman,2.240.230,n/r,http://dbpedia.org/resource/Manchester
13,Mandalay,961 thousand,Myanmar (Burma),Phone Zaw Han,1.300 thousand,425,http://dbpedia.org/resource/Mandalay
14,MANILA METRO,11.550 thousand,Philippines,Alfredo S Lim,13.503 thousand,7,http://dbpedia.org/resource/Metro_Manila
15,Mannheim,311 thousand,Germany,Peter Kurz,1.456 thousand,n/r,http://dbpedia.org/resource/Mannheim
16,MAPUTO,1.244 thousand,Mozambique,David Simango,1.640 thousand,313,http://dbpedia.org/resource/Maputo
17,Maracaibo,1.799 thousand,Venezuela,Eveling Trejo,1.868 thousand,164,http://dbpedia.org/resource/Maracaibo
18,Maracay,479 thousand,Venezuela,Humberto Prieto,1.125 thousand,n/r,http://dbpedia.org/resource/Maracay
19,Marrakech,1.071 thousand,Morocco,n/k,,380,http://dbpedia.org/resource/Marrakesh
20,Marseille,852 thousand,France,Jean-Claude Gaudin,1.605 thousand,464,http://dbpedia.org/resource/Marseille
21,Mashhad,2.910 thousand,Iran,Mohammad Pejman,3.000 thousand,81,http://dbpedia.org/resource/Babolsar
22,Masqat-Matrah,776 thousand,Oman,n/k,776 thousand,511,http://dbpedia.org/resource/Muscat._Oman
23,Matamoros,370 thousand,Mexico,n/k,780 thousand,n/r,http://dbpedia.org/resource/Matamoros._Tamaulipas
24,Mataram,330 thousand,Indonesia,n/k,1.081 thousand,n/r,http://dbpedia.org/resource/Mataram_(city)
25,Mbuji-Mayi,905 thousand,Congo D.R.,n/k,1.054 thousand,444,http://dbpedia.org/resource/Mbuji-Mayi
26,Mecca,1.700 thousand,Saudi Arabia,Osama Al-Bar,2.500 thousand,177,http://dbpedia.org/resource/Mecca
27,Medan,1.990 thousand,Indonesia,Rahudman Harahap,2.390 thousand,141,http://dbpedia.org/resource/Medan
28,Medellin,2.223 thousand,Colombia,Alonso Salazar Jaramillo,3.312 thousand,128,http://dbpedia.org/resource/Medell%C3%ADn
29,Medina,1.300 thousand,Saudi Arabia,Abdulaziz Bin Majid,1.300 thousand,291,http://dbpedia.org/resource/Medina
30,Meerut,1.277 thousand,India,n/k,,306,http://dbpedia.org/resource/Meerut
31,Melbourne,3.635 thousand,Australia,Robert Doyle,3.3635 thousand,61,http://dbpedia.org/resource/Melbourne
32,Memphis,670 thousand,USA,AC Wharton,1.281 thousand,555,http://dbpedia.org/resource/Memphis._Tennessee
33,Mendoza,113 thousand,Argentina,Víctor Fayad,849 thousand,n/r,http://dbpedia.org/resource/Mendoza._Argentina
34,Merida,734 thousand,Mexico,César Bojórquez Zapata,890 thousand,525,http://dbpedia.org/resource/M%C3%A9rida._Yucat%C3%A1n
35,Mexicali,1.000 thousand,Mexico,n/k,1.000 thousand,411,http://dbpedia.org/resource/Mexicali
36,MEXICO CITY,8.841 thousand,Mexico,Marcelo Ebrard,21.163 thousand,14,http://dbpedia.org/resource/Mexico_City
37,Miami,386 thousand,USA,Tomás Regalado,5.413 thousand,n/r,http://dbpedia.org/resource/Miami
38,Mianyang,1.300 thousand,China,Liu Dong,5.200 thousand,292,http://dbpedia.org/resource/Mianyang
39,Milan,1.302 thousand,Italy,Letizia Moratti,4.051 thousand,289,http://dbpedia.org/resource/Milan
40,Milwaukee,604 thousand,USA,Tom Barrett,1.740 thousand,569,http://dbpedia.org/resource/Milwaukee
41,Minneapolis,392 thousand,USA,R T Rybak,3.503 thousand,n/r,http://dbpedia.org/resource/Minneapolis
42,MINSK,1.831 thousand,Belarus,Nikolai Ladutko,,155,http://dbpedia.org/resource/Minsk
43,Mirat,1.095 thousand,India,n/k,1.095 thousand,370,http://dbpedia.org/resource/Meerut
44,MOGADISHU,1.500 thousand,Somalia,Mohamud Ahmed Tarzan,2.500 thousand,218,http://dbpedia.org/resource/Mogadishu
45,Mombasa,880 thousand,Kenia,Ahmed Abubakar Mohdhar,,458,http://dbpedia.org/resource/Mombasa
