"country","id","mayor","metroPopulation","name","population","rank","sameAs"
"USA","0","n/k","1.058 thousand","MacAllen","110 thousand","n/r","http://dbpedia.org/resource/McAllen._Texas"
"Brazil","1","Jos� C�cero Soares de Almeida","1.100 thousand","Maceio","922 thousand","437","http://dbpedia.org/resource/Macei%C3%B3"
"China","2","n/k",,"Macheng","1.880 thousand","152","http://dbpedia.org/resource/Macheng"
"Spain","3","Alberto Ruiz-Gallard�n","5.300 thousand","MADRID","3.213 thousand","73","http://dbpedia.org/resource/Madrid"
"India","4","Thenmozhi Gopinathan",,"Madurai","1.130 thousand","355","http://dbpedia.org/resource/Madurai"
"Germany","5","Lutz Tr�mper",,"Magdeburg","230 thousand","n/r","http://dbpedia.org/resource/Magdeburg"
"Nigeria","6","n/k","1.200 thousand","Maiduguri","1.200 thousand","324","http://dbpedia.org/resource/Maiduguri"
"Indonesia","7","Ilham Arief Sirajuddin",,"Makasar","1.113 thousand","360","http://dbpedia.org/resource/Makassar"
"Indonesia","8","n/k","921 thousand","Malang","742 thousand","523","http://dbpedia.org/resource/Malang"
"France","800","Martine Aubry","1.143 thousand","Lille","226 thousand","n/r","http://dbpedia.org/resource/Lille"
"Sweden","9","Ilmar Reepalu","1.340 thousand","Malmo","244 thousand","n/r","http://dbpedia.org/resource/Malm%C3%B6"
"Malawi","801","n/k",,"LILONGWE","866 thousand","461","http://dbpedia.org/resource/Lilongwe"
"Peru","802","Susana Villaran","8.473 thousand","LIMA","7.606 thousand","22","http://dbpedia.org/resource/Lima"
"China","803","Lian Chengmin","10.080 thousand","Linyi","2.300 thousand","123","http://dbpedia.org/resource/Linyi"
"Portugal","804","Ant�nio Costa","2.612 thousand","LISBON","558 thousand","587","http://dbpedia.org/resource/Lisbon"
"China","805","Tang Linxiang","1.600 thousand","Liuan","320 thousand","n/r","http://dbpedia.org/resource/Lu'an"
"China","806","Liang Zhong",,"Liuyang","1.380 thousand","265","http://dbpedia.org/resource/Liuyang"
"China","807","n/k","990 thousand","Liuzhou","810 thousand","487","http://dbpedia.org/resource/Liuzhou"
"UK","808","n/k","817 thousand","Liverpool","435 thousand","n/r","http://dbpedia.org/resource/Liverpool"
"Poland","809","Jerzy Kropiwickni","1.429 thousand","Lodz","783 thousand","506","http://dbpedia.org/resource/%C5%81%C3%B3d%C5%BA"
"UK","810","Boris Johnson","12.200 thousand","LONDON","7.557 thousand","23","http://dbpedia.org/resource/London"
"USA","811","Antonio Villaraigosa","12.890 thousand","Los Angeles","3.834 thousand","55","http://dbpedia.org/resource/Los_Angeles"
"USA","812","Jerry Abramson","1.040 thousand","Louisville","260 thousand","n/r","http://dbpedia.org/resource/Louisville._Kentucky"
"Angola","813","Jos� Maria Ferraz dos Santos","5.500 thousand","LUANDA","4.799 thousand","41","http://dbpedia.org/resource/Luanda"
"Germany","814","Bernd Saxe",,"L�beck","211 thousand","n/r","http://dbpedia.org/resource/L%C3%BCbeck"
"Congo D.R.","815","Moise Katumbi","1.250 thousand","Lubumbashi","1.140 thousand","347","http://dbpedia.org/resource/Lubumbashi"
"India","816","Dinesh Sharma","2.686 thousand","Lucknow","2.342 thousand","121","http://dbpedia.org/resource/Lucknow"
"India","817","n/k","4.400 thousand","Ludhiana","1.400 thousand","256","http://dbpedia.org/resource/Ludhiana"
"China","818","n/k",,"Lufeng","1.350 thousand","278","http://dbpedia.org/resource/Lufeng._Guangdong"
"China","819","Guo Hongchang","1.499 thousand","Luoyang","1.500 thousand","217","http://dbpedia.org/resource/Luoyang"
"Zambia","820","Robert Chikwelete","3.120 thousand","LUSAKA","1.110 thousand","363","http://dbpedia.org/resource/Lusaka"
"China","821","Liu Guoqiang","4.800 thousand","Luzhou","1.380 thousand","266","http://dbpedia.org/resource/Luzhou"
"Ukraine","822","Andriy Sadovyi","1.040 thousand","Lviv","740 thousand","524","http://dbpedia.org/resource/Lviv"
"France","823","G�rard Collomb","1.665 thousand","Lyon","472 thousand","n/r","http://dbpedia.org/resource/Lyon"
"China","600","Tang Linxiang","1.600 thousand","Liuan","320 thousand","n/r","http://dbpedia.org/resource/Lu'an"
"China","601","n/k","804 thousand","Dongying","294 thousand","n/r","http://dbpedia.org/resource/Dongying"
"Colombia","602","Samuel Moreno Rojas","8.361 thousand","BOGOTA","7.320 thousand","25","http://dbpedia.org/resource/Bogot%C3%A1"
"Colombia","603","Jorge Ivan Ospina","2.801 thousand","Cali","2.525 thousand","104","http://dbpedia.org/resource/Cali"
