id,category,brand,description,price,title
11723285,Computers_and_Accessories,HP Enterprise,Description: 271246-001 Proliant Xeon 3.0GHz ML530 G2 Rack 1GB Part# 271246-001,,"COMPAQ PL ML530R G3 Xeon 3.0GHz 1GB, Null Price 271246-001 1GB Wholesale COMPAQ"
16476204,Computers_and_Accessories,HP Enterprise,Description:10 x 72GB 2.5-inch Serial Attached SCSI (SAS) SFF3G Dual Port Hot-Plug 15K Hard Disk DriveFor G1-G7 Proliant SAS ServersGenuine HPE number and firmwareGenuine Certified DrivePart Number(s) Option Part# 418371-B21 Spare 418398-001 Assembly 504064-002 Model# DH0072BALWL,"CAD, $757.74 CAD",DH0072BALWL HP 72-GB 3G 15K 2.5 DP SAS Null
16856034,Computers_and_Accessories,HP Enterprise,Description:HP Intelï¿½ Xeonï¿½ E5607 BL460c G7(2.26GHz/4-core/8MB/80W)Full Processor Option KitPart Number(s) Manufacturer Part# 637414-B21,,"637414-B21 HP Xeon E5607 2.26GHz BL460c G7 , Null New 637414-B21 Wholesale Price 637414-B21"
7421086,Computers_and_Accessories,HP,358348-B21 ADJ 1GB 184p PC2700 CL2.5 18c 128x4 Registered ECC DDR DIMM T027,"USD, 13.98",HP 358348-B21 ADJ 1GB 184p PC2700 CL2.5 18c 128x4 Registered ECC DDR DIMM T027
16946565,Computers_and_Accessories,HP Enterprise,Description:Intel Xeon X5470 ML370 G5 (3.33GHz/4-core/12MB/120W) CPQFull Processor Option KitPart Number(s)Option Part# 488039-B21,"$395.95, USD",488039-B21 HP X5470 3.33GHz ML370 G5 Null
16340292,Computers_and_Accessories,,"ASUS SABERTOOTH Z170 MARK 1, Intel Z170, S 1151, DDR4, SATAe, M.2 (PCIe/SATA), SLi/CrossFire, Dual LAN, USB 3.1 C, ATX @en",,ASUS SABERTOOTH Z170 MARK 1 Motherboard@en Motherboard LN66902 - 90MB0MG0-M0EAY0 | SCAN UK@en
12427360,Computers_and_Accessories,HP Enterprise,Description:2 x 146GB Serial Attached SCSI (SAS) 15K 3.5-inch Single Port Hot-Plug Hard DriveIn HPE Drive tray (as pictured)For G1-G7 Proliant SAS ServersGenuine serial number and firmwareGenuine Certified DrivePart Number(s) Option Part# 375872-B21 375872-S21 Spare 376595-001 Assembly 443169-002 392254-003 375698-003 431943-003 481653-002 Model# DF146A4941 DF146A9845 DF146A8B57 DF146ABAA9 DF146BAFDU,$169.02 USD,431943-003 HP 146-GB 15K 3.5 SP SAS 2 Pack
10381562,Computers_and_Accessories,,,,Corsair Air Series AF140 Quiet Edition 140MM 1150RPM 67.8CFM 24DBA Airflow Cooling Fan Fan - CO-9050009-WW NCIX
17341652,Computers_and_Accessories,SanDisk,SanDisk SDCFXPS-032G DFA 32GB 50p CF 1066x 160MB/s CompactFlash Card Sandisk Extreme Pro,"USD, 55.85",SanDisk SDCFXPS-032G DFA 32GB 50p CF 1066x 160MB/s CompactFlash Card Sandisk Extreme Pro
3315611,Computers_and_Accessories,,"Losing USB end caps can be quite annoying, not to mention the inconvenience of taking the cap on and off every time the drive is used. For extra convenience and protection, the JetFlash 500 flash drive is designed with an extension and retraction mechanism that enables users to bring out or hide the connector with a single flick of the thumb. Its capless design not only keeps dust and debris out of the drive, but also ensures there is no cap to misplace or lose.Thanks to its use of ultrasonic welding technology, the JetFlash 500 drive's inseparable outer case not only makes the drive more solid and rugged, but also improves its tactile and visual appeal. The JetFlash 500 is a USB flash drive you will want to take out of your pocket and show off to your friends.","$, 8.99",Transcend JetFlash 500 - USB flash drive 8 GB Transcend GB TS8GJF500 Thumb Drives CDW.com
17332690,Computers_and_Accessories,HP Enterprise,Description:Rack-mountable - 4U - 4-way - Intel Xeon MP 3.16 GHz RAM 1 GB - Hot-Swap 2.5-inch - no HDD - DVD/CD - Gigabit Ethernet HP Part# 377239-001,,"377239-001 DL580 G3 Intel Xeon MP 3.16GHz , Null Price 377239-001 Wholesale"
11179365,Computers_and_Accessories,SanDisk@en,,,"SanDisk Extreme Pro - flash memory card 128 GB CompactFlash Series @en, SanDisk CompactFlash@en Prices CNET@en"
3923027,Computers_and_Accessories,,"Plug and Play for high performance with Intel's 100 Series and X99 chipsets.HyperX FURY DDR4 memory automatically overclocks to the highest frequency published, up to 2666 MHz, to deliver instant top-level performance for motherboards with Intel's 100 Series and X99 chipsets.It's a small investment for premium components that complement Intel's 2, 4, 6 and 8-core processors for faster video editing, 3D rendering, gaming and AI processing.Its stylish low-profile heat spreader with signature FURY design lets you show off your rig in style.","$, 51.99",HyperX FURY - DDR4 4 GB DIMM 288-pin HyperX 288-pin HX426C15FB/4 System Memory (RAM) CDW.com
3834574,Computers_and_Accessories,Gigabyte,,,Gigabyte - GA-Z270N-WIFI Mini ITX LGA1151 Motherboard Motherboard (GA-Z270N-WIFI) PCPartPicker
9688802,Computers_and_Accessories,Dell,Description:2 x 36GB Ultra320 3.5-inch SCSI 15K 68-pin Non-Hot-Swap DrivePart Number(s)Manufacturer Part# F1372,,"F1372 Dell 36-GB U320 SCSI NHP 15K, Null Price F1372-2Pack New F1372 15K 2 Pack Wholesale"
16859285,Computers_and_Accessories,HP Enterprise,Description:Genuine HPE 2GB (1x2GB) Unbuffered PC2-5300666MHz ECC DIMM SDRAM ModulePart Number(s) Option Part# 432806-B21 Spare 433935-001,"CAD, $116.94 CAD",432806-B21 HP 2GB PC2-5300 SDRAM Module Null
12888973,Computers_and_Accessories,AMD@en,"YD1400BBAEBOX, Quad Core with Eight Threads, 3.40GHz clock speed, 14nm FinFet Process, 8MB L3 Cache, Dual Channel DDR4 Controller, 3 Year Warranty@en",,AMD Ryzen 5 Quad Core 1400 3.40GHz (Socket AM4) Processor - Retail@en ▷ AMD … | OcUK@en
17346839,Computers_and_Accessories,,Cost-effective SSD featuring TurboWrite and RAPID mode for ultrafast computing@en shock vibration resistant@en NAND flash-based lightweight,,SSD 750 EVO 2.5” SATA III 120GB @en
1449999,Computers_and_Accessories,,"Procesador Intel® Core™ i7 6700HQ Memoria RAM 8GB , DDR4 Disco duro 1TB SATA HDD 5400 Almacenamiento óptico No incluido Pantalla 15.6 16:9 Full HD (1920x1080) Wide View Angle Pantalla antirreflejos NVIDIA® GeForce® GTX 960M con 2GB GDDR5 Sistema operativo Windows 10 Home @es",,Asus ROG G501VW-FW106T i7-6700HQ 8GB 1TB Nvidia GTX960 2GB W10 15.6@es Pro B9440UA-GV0132R i7-7500u 256GB SSD 14´LED FHD W10Pro -... @es
17040823,Computers_and_Accessories,HP Enterprise,Description:Genuine HPE 2GB FBD PC2-5300(2x1GB) SDRAM DDR2 Dual Rank Memory KitPart Number(s) Option Part# 397411-B21 (2 modules per kit) Spare 416471-001 Assembly 398706-051 kit),"$65.95, USD",397411-B21 HP 2GB (2x1GB) PC2-5300 SDRAM Kit Null
13889537,Computers_and_Accessories,HP Enterprise,Description:10 x 500GB Hot-Plug Serial ATA (SATA) 1.5GB/s Hard Drive 7200 RPM 3.5-inch form factor 1.0 inch high NCQ (Native Command Queing)In HPE Hot-Plug Hard Drive tray (as pictured)For G1-G7 Proliant SATA ServersGenuine HPE serial number and firmwareGenuine HPE Certified Hard DrivePart Number(s) Option Part# 395473-B21 Spare Part# 395501-002 Assembly Part# 454141-002 Model# GB0500C8046,,"454141-002 HP 500-GB 7.2K 3.5 SATA, Null Price 454141-002-10Pack SATA 10 Pack Wholesale 454141-002"
17195741,Computers_and_Accessories,HP Enterprise,Description:HP ProLiant BL10e G2 Server - 1 x Pentium III 1GHz - 512MB DDR SDRAM - 1 x 40GB Manufacturer Part# 333773-B21,,"Null, 333773-B21 HP BL10e G2 40GB Server Blade Price 333773-B21 Blade Wholesale"
16352534,Computers_and_Accessories,HP Enterprise,Description: Proliant DL580R02 Xeon 2.8GHz 2M (2P)Hewlett-Packard Part# 325134-001,,"325134-001 DL580R G2 (2P) Xeon 2.8GHz, Null 2.8GHz Wholesale 325134-001 Price 325134-001"
8078190,Computers_and_Accessories,,,,Acer Aspire ES1-132-P194 - Business Notebook @de Acer R11 R3-131T-P81Z 2-in-1 Convertible Vorf�hrware | Notebooks ARLT Computer
15917378,Computers_and_Accessories,HP Enterprise,Description:10/20GB Ext SCSI DLTPart Number(s) Option Part# 199679-001,"CAD, $220.94 CAD",HP 199679-001 10/20-GB Ext SCSI DLT Null
11523636,Computers_and_Accessories,SEAGATE,,,* SEAGATE BARRACUDA ES.2 ST3750330NS 750GB 3.5 HDD HARD DRIVE #2 Inc. Page 11 Premier Equipment Solutions
10648662,Computers_and_Accessories,Null,"Includes: Battery, MagSafe Power Adapter",,"Apple MacBook Pro 13-inch 2.5GHz Core i5 (Retina, Late 2012) MD213LL/A Used Apple (Retina MD213LL/A - mac of all trades"
7323953,Computers_and_Accessories,Apple@en,,,Apple 21.5 2.5GHz Intel Quad-Core i5 iMac Desktop Computer@en Accessories For Apple Computer - Z0H6TBD2 Abt@en
8935465,Computers_and_Accessories,,"2GB ASUS GeForce GT 730 Silent, Passive, Dual Slot, PCIe 2.0 (x8), 1800MHz GDDR3, GPU 902MHz, 384 Cores, HDMI/DVI-D/VGA @en",,ASUS GeForce GT 730 Passive Silent Graphics Card - 2GB@en 2GB LN58822 GT730-SL-2GD3-BRK | SCAN UK@en
15908124,Computers_and_Accessories,HP Enterprise,Description:HP Intelï¿½ Xeonï¿½ E5335 DL140 G3(2.00GHz/4-core/8MB/80W)Full Processor Option KitPart Number(s)Manufacturer Part# 442992-B21,,"442992-B21 HP Xeon E5335 2.0GHz DL140 G3, Null New 442992-B21 G3 Wholesale Price 442992-B21"
7224369,Computers_and_Accessories,PNY Technologies@en,PNY Elite Performance 64 GB SDXC - Class 10/UHS-I (U3) - 95 MB/s Read Class 10/UHS-I (U3) - 95 MB/s Read @en,,PNY Elite Performance 64 GB SDXC@en SDXC | ibSupply.com@en
